attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,game_duration,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,weekday,year,month,day,period,field_type,start_time_weather
40030,New York Mets,1,7,3,https://www.baseball-reference.com/boxes/KCA/KCA201604030.shtml,03:13:00,Kansas City Royals,0,9,4,7:38 p.m.,Kauffman Stadium,Sunday, 2016,April,3,Night Game, on grass,"4&deg; F, Wind 14mph from Right to Left, Sunny."
21621,Philadelphia Phillies,0,5,2,https://www.baseball-reference.com/boxes/CIN/CIN201604060.shtml,02:23:00,Cincinnati Reds,0,8,3,7:11 p.m.,Great American Ball Park,Wednesday, 2016,April,6,Night Game, on grass,"5&deg; F, Wind 24mph from Right to Left, Overcast."
12622,Minnesota Twins,0,5,2,https://www.baseball-reference.com/boxes/BAL/BAL201604060.shtml,03:11:00,Baltimore Orioles,0,9,4,7:07 p.m.,Oriole Park at Camden Yards,Wednesday, 2016,April,6,Night Game, on grass,"8&deg; F, Wind 7mph out to Leftfield."
18531,Washington Nationals,0,8,3,https://www.baseball-reference.com/boxes/ATL/ATL201604060.shtml,02:53:00,Atlanta Braves,1,8,1,7:10 p.m.,Turner Field,Wednesday, 2016,April,6,Night Game, on grass,"5&deg; F, Wind 10mph from Right to Left, Cloudy."
18572,Colorado Rockies,1,8,4,https://www.baseball-reference.com/boxes/ARI/ARI201604060.shtml,02:39:00,Arizona Diamondbacks,0,8,3,12:40 p.m.,Chase Field,Wednesday, 2016,April,6,Day Game, on grass,"7&deg; F, Wind 0mph, In Dome."
28386,Seattle Mariners,1,11,10,https://www.baseball-reference.com/boxes/TEX/TEX201604050.shtml,03:30:00,Texas Rangers,1,7,2,7:07 p.m.,Globe Life Park in Arlington,Tuesday, 2016,April,5,Night Game, on grass,"1&deg; F, Wind 12mph from Right to Left, Cloudy."
12757,Toronto Blue Jays,0,9,2,https://www.baseball-reference.com/boxes/TBA/TBA201604050.shtml,03:07:00,Tampa Bay Rays,1,7,3,7:10 p.m.,Tropicana Field,Tuesday, 2016,April,5,Night Game, on turf,"2&deg; F, Wind 0mph, In Dome."
28329,Los Angeles Dodgers,0,6,3,https://www.baseball-reference.com/boxes/SDN/SDN201604050.shtml,02:36:00,San Diego Padres,1,2,0,7:11 p.m.,Petco Park,Tuesday, 2016,April,5,Night Game, on grass,"0&deg; F, Wind 6mph from Left to Right."
26049,St. Louis Cardinals,1,8,5,https://www.baseball-reference.com/boxes/PIT/PIT201604050.shtml,03:27:00,Pittsburgh Pirates,2,12,6,7:08 p.m.,PNC Park,Tuesday, 2016,April,5,Night Game, on grass,"0&deg; F, Wind 7mph out to Leftfield, Sunny."
10478,Chicago White Sox,0,11,5,https://www.baseball-reference.com/boxes/OAK/OAK201604050.shtml,03:28:00,Oakland Athletics,0,10,4,7:08 p.m.,Oakland-Alameda County Coliseum,Tuesday, 2016,April,5,Night Game, on grass,"0&deg; F, Wind 8mph out to Rightfield, Cloudy."
47820,Houston Astros,0,6,5,https://www.baseball-reference.com/boxes/NYA/NYA201604050.shtml,03:17:00,New York Yankees,1,4,3,1:11 p.m.,Yankee Stadium III,Tuesday, 2016,April,5,Day Game, on grass,"6&deg; F, Wind 18mph from Left to Right, Sunny."
24123,San Francisco Giants,0,7,2,https://www.baseball-reference.com/boxes/MIL/MIL201604050.shtml,02:29:00,Milwaukee Brewers,0,6,1,7:10 p.m.,Miller Park,Tuesday, 2016,April,5,Night Game, on grass,"4&deg; F, Wind 0mph, In Dome."
36911,Detroit Tigers,1,12,8,https://www.baseball-reference.com/boxes/MIA/MIA201604050.shtml,03:47:00,Miami Marlins,2,10,7,7:37 p.m.,Marlins Park,Tuesday, 2016,April,5,Night Game, on grass,"7&deg; F, Wind 16mph from Left to Right, Sunny."
13468,Texas Rangers,0,14,7,https://www.baseball-reference.com/boxes/SEA/SEA201604110.shtml,03:00:00,Seattle Mariners,0,7,3,7:10 p.m.,Safeco Field,Monday, 2016,April,11,Night Game, on grass,"7&deg; F, Wind 2mph in from Leftfield."
